Rank,Release Group,Worldwide,Domestic,%,Foreign,%
51,Into the Storm,"$161,502,194","$47,602,194",29.5%,"$113,900,000",70.5%
52,Unbroken,"$161,459,297","$115,637,895",71.6%,"$45,821,402",28.4%
53,The Monuments Men,"$155,641,650","$78,031,620",50.1%,"$77,610,030",49.9%
54,Ride Along,"$154,468,902","$134,938,200",87.4%,"$19,530,702",12.6%
55,Planes: Fire & Rescue,"$146,965,787","$59,165,787",40.3%,"$87,800,000",59.7%
56,The Taking of Tiger Mountain,"$141,654,055","$228,984",0.2%,"$141,425,071",99.8%
57,The Admiral: Roaring Currents,"$138,342,258","$2,589,811",1.9%,"$135,752,447",98.1%
58,Let's Be Cops,"$138,224,951","$82,390,774",59.6%,"$55,834,177",40.4%
59,Annie,"$136,853,506","$85,911,262",62.8%,"$50,942,244",37.2%
60,Jack Ryan: Shadow Recruit,"$135,503,748","$50,577,412",37.3%,"$84,926,336",62.7%
61,Blended,"$127,994,610","$46,294,610",36.2%,"$81,700,000",63.8%
62,Sex Tape,"$126,069,509","$38,543,473",30.6%,"$87,526,036",69.4%
63,The Theory of Everything,"$123,726,688","$35,893,537",29%,"$87,833,151",71%
64,The Nut Job,"$120,885,527","$64,251,541",53.2%,"$56,633,986",46.8%
65,Pompeii,"$117,831,631","$23,219,748",19.7%,"$94,611,883",80.3%
66,Seventh Son,"$114,178,613","$17,223,265",15.1%,"$96,955,348",84.9%
67,The Purge: Anarchy,"$111,928,365","$71,962,800",64.3%,"$39,965,565",35.7%
68,"Dad, Where Are We Going?","$111,870,000",-,-,"$111,870,000",100%
69,The Boxtrolls,"$108,255,770","$50,837,305",47%,"$57,418,465",53%
70,Horrible Bosses 2,"$107,645,357","$54,445,357",50.6%,"$53,200,000",49.4%
71,The Breakup Guru,"$106,980,263","$208,959",0.2%,"$106,771,304",99.8%
72,Ouija,"$103,590,271","$50,856,010",49.1%,"$52,734,261",50.9%
73,Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094","$42,340,598",41%,"$60,874,496",59%
74,Transcendence,"$103,039,258","$23,022,309",22.3%,"$80,016,949",77.7%
75,Heaven Is for Real,"$101,888,019","$91,443,253",89.7%,"$10,444,766",10.3%
76,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$100,654,149","$66,954,149",66.5%,"$33,700,000",33.5%
77,Tammy,"$100,375,432","$84,525,432",84.2%,"$15,850,000",15.8%
78,PK,"$100,370,104","$10,616,104",10.6%,"$89,754,000",89.4%
79,The Continent,"$100,125,957",-,-,"$100,125,957",100%
80,The Book of Life,"$99,783,556","$50,151,543",50.3%,"$49,632,013",49.7%
81,Ode to My Father,"$99,085,291","$2,300,121",2.3%,"$96,785,170",97.7%
82,Fleet of Time,"$94,244,191","$569,280",0.6%,"$93,674,911",99.4%
83,The Man from Macau,"$93,864,936",-,-,"$93,864,936",100%
84,Paranormal Activity: The Marked Ones,"$90,894,962","$32,462,372",35.7%,"$58,432,590",64.3%
85,The Hundred-Foot Journey,"$89,514,453","$54,240,821",60.6%,"$35,273,632",39.4%
86,Deliver Us from Evil,"$87,937,815","$30,577,122",34.8%,"$57,360,693",65.2%
87,A Million Ways to Die in the West,"$87,189,756","$43,139,300",49.5%,"$44,050,456",50.5%
88,Step Up All In,"$86,165,646","$14,904,384",17.3%,"$71,261,262",82.7%
89,John Wick,"$86,013,056","$43,037,835",50%,"$42,975,221",50%
90,The Judge,"$84,419,388","$47,119,388",55.8%,"$37,300,000",44.2%
91,Tiny Times 3.0,"$82,320,000",-,-,"$82,320,000",100%
92,Gone with the Bullets,"$81,387,479",-,-,"$81,387,479",100%
93,Muppets Most Wanted,"$80,383,113","$51,183,113",63.7%,"$29,200,000",36.3%
94,Spanish Affair,"$78,768,613",-,-,"$78,768,613",100%
95,If I Stay,"$78,274,843","$50,474,843",64.5%,"$27,800,000",35.5%
96,Head Full of Honey,"$78,127,384",-,-,"$78,127,384",100%
97,"I, Frankenstein","$76,801,179","$19,075,290",24.8%,"$57,725,889",75.2%
98,Crimson Peak,"$74,679,822","$31,090,320",41.6%,"$43,589,502",58.4%
99,My Old Classmate,"$73,052,128",-,-,"$73,052,128",100%
100,The Bélier Family,"$72,751,538",-,-,"$72,751,538",100%
101,Brick Mansions,"$71,416,730","$20,396,829",28.6%,"$51,019,901",71.4%
102,Son of God,"$70,829,270","$59,700,064",84.3%,"$11,129,206",15.7%
103,Think Like a Man Too,"$70,181,428","$65,182,182",92.9%,"$4,999,246",7.1%
104,Jersey Boys,"$67,647,013","$47,047,013",69.5%,"$20,600,000",30.5%
105,The Giver,"$66,980,456","$45,090,374",67.3%,"$21,890,082",32.7%
106,Selma,"$66,787,908","$52,076,908",78%,"$14,711,000",22%
107,Beijing Love Story,"$65,842,375","$428,318",0.7%,"$65,414,057",99.3%
108,The House That Never Dies,"$65,220,000",-,-,"$65,220,000",100%
109,The Pirates,"$64,858,224","$415,775",0.6%,"$64,442,449",99.4%
110,God's Not Dead,"$64,667,874","$60,755,732",94%,"$3,912,142",6%
111,The Pirate Fairy,"$63,998,725",-,-,"$63,998,725",100%
112,The Inbetweeners 2,"$63,852,235",-,-,"$63,852,235",100%
113,Begin Again,"$63,464,861","$16,170,632",25.5%,"$47,294,229",74.5%
114,The White Haired Witch of Lunar Kingdom,"$62,515,046",-,-,"$62,515,046",100%
115,The Walk,"$61,181,942","$10,137,502",16.6%,"$51,044,440",83.4%
116,Miss Granny,"$58,940,254",-,-,"$58,940,254",100%
117,A Walk Among the Tombstones,"$58,834,384","$26,307,600",44.7%,"$32,526,784",55.3%
118,Dolphin Tale 2,"$57,824,533","$42,024,533",72.7%,"$15,800,000",27.3%
119,St. Vincent,"$54,837,234","$44,137,712",80.5%,"$10,699,522",19.5%
120,No Good Deed,"$54,323,210","$52,543,632",96.7%,"$1,779,578",3.3%
121,Overheard 3,"$53,493,428",-,-,"$53,493,428",100%
122,Supercondriaque,"$53,425,036",-,-,"$53,425,036",100%
123,3 Days to Kill,"$53,260,230","$30,697,999",57.6%,"$22,562,231",42.4%
124,Rurouni Kenshin Part II: Kyoto Inferno,"$52,696,176",-,-,"$52,696,176",100%
125,Wild,"$52,501,541","$37,880,356",72.2%,"$14,621,185",27.8%
126,Magic in the Moonlight,"$51,029,361","$10,539,326",20.7%,"$40,490,035",79.3%
127,About Last Night,"$50,445,860","$48,637,684",96.4%,"$1,808,176",3.6%
128,Dearest 2014 Re-release,"$50,000,583",-,-,"$50,000,583",100%
129,Whiplash,"$48,982,041","$13,092,000",26.7%,"$35,890,041",73.3%
130,Chef,"$48,428,048","$31,424,003",64.9%,"$17,004,045",35.1%
131,Boyhood,"$48,137,666","$25,352,281",52.7%,"$22,785,385",47.3%
132,Coming Home,"$47,587,984","$377,607",0.8%,"$47,210,377",99.2%
133,Beauty and the Beast,"$47,430,624",-,-,"$47,430,624",100%
134,Nightcrawler,"$47,398,992","$32,381,217",68.3%,"$15,017,775",31.7%
135,Earth to Echo,"$45,681,062","$38,934,842",85.2%,"$6,746,220",14.8%
136,That Awkward Moment,"$45,640,143","$26,068,955",57.1%,"$19,571,188",42.9%
137,Love on the Cloud,"$45,386,560","$271,734",0.6%,"$45,114,826",99.4%
138,Oculus,"$44,446,287","$27,695,246",62.3%,"$16,751,041",37.7%
139,The Great Hypnotist,"$44,077,818",-,-,"$44,077,818",100%
140,Kick,"$43,996,483","$2,472,695",5.6%,"$41,523,788",94.4%
141,Asterix and Obelix: Mansion of the Gods,"$42,830,578",-,-,"$42,830,578",100%
142,Thermae Romae II,"$42,473,163",-,-,"$42,473,163",100%
143,Bang Bang,"$42,045,981","$2,546,172",6.1%,"$39,499,809",93.9%
144,Detective Conan: The Sniper from Another Dimension,"$42,028,116",-,-,"$42,028,116",100%
145,Rurouni Kenshin Part III: The Legend Ends,"$41,900,000",-,-,"$41,900,000",100%
146,"As Above, So Below","$41,898,409","$21,321,100",50.9%,"$20,577,309",49.1%
147,This Is Where I Leave You,"$41,296,320","$34,296,320",83%,"$7,000,000",17%
148,Bears and Lola,"$40,163,675",-,-,"$40,163,675",100%
149,The November Man,"$39,661,919","$25,018,119",63.1%,"$14,643,800",36.9%
150,Recep Ivedik 4,"$39,477,906",-,-,"$39,477,906",100%
151,Frank Miller's Sin City: A Dame to Kill For,"$39,407,616","$13,757,804",34.9%,"$25,649,812",65.1%
152,The Gambler,"$39,280,992","$33,680,992",85.7%,"$5,600,000",14.3%
153,Samba,"$39,178,695","$151,530",0.4%,"$39,027,165",99.6%
154,Women Who Flirt,"$39,156,132","$375,495",1%,"$38,780,637",99%
155,Forbidden Kingdom 2014 Re-release,"$38,885,962",-,-,"$38,885,962",100%
156,The Best of Me,"$38,609,668","$26,766,213",69.3%,"$11,843,455",30.7%
157,Million Dollar Arm,"$38,483,455","$36,457,627",94.7%,"$2,025,828",5.3%
158,The Water Diviner,"$38,176,317","$4,196,641",11%,"$33,979,676",89%
159,But Always,"$38,039,248","$430,760",1.1%,"$37,608,488",98.9%
160,Devil's Due,"$36,921,560","$15,821,461",42.9%,"$21,100,099",57.1%
161,A Most Wanted Man,"$36,233,517","$17,237,855",47.6%,"$18,995,662",52.4%
162,Kundo: Age of the Rampant,"$35,941,291","$280,958",0.8%,"$35,660,333",99.2%
163,Doraemon the Movie: The New Records of Nobita's Spaceblazer 2014 Re-release,"$35,861,856",-,-,"$35,861,856",100%
164,When Marnie Was There,"$34,949,567","$561,085",1.6%,"$34,388,482",98.4%
165,Endless Love,"$34,718,173","$23,438,250",67.5%,"$11,279,923",32.5%
166,Black & White: The Dawn of Justice,"$34,146,896",-,-,"$34,146,896",100%
167,"My Love, Don't Cross That River","$34,012,261",-,-,"$34,012,261",100%
168,Don't Go Breaking My Heart 2,"$33,801,759",-,-,"$33,801,759",100%
169,Get on Up,"$33,448,971","$30,703,100",91.8%,"$2,745,871",8.2%
170,Girls,"$33,325,338",-,-,"$33,325,338",100%
171,The Crossing,"$32,806,475",-,-,"$32,806,475",100%
172,Old Boys: The Way of the Dragon,"$32,800,000",-,-,"$32,800,000",100%
173,Tinker Bell and the Legend of the NeverBeast,"$31,836,701",-,-,"$31,836,701",100%
174,The Four 3,"$31,521,335",-,-,"$31,521,335",100%
175,Tazza: The Hidden Card,"$31,278,476","$251,555",0.8%,"$31,026,921",99.2%
176,Mrs. Brown's Boys D'Movie,"$31,116,264",-,-,"$31,116,264",100%
177,Rise of the Legend,"$30,932,534",-,-,"$30,932,534",100%
178,Winter's Tale,"$30,800,231","$12,600,231",40.9%,"$18,200,000",59.1%
179,Wild Tales,"$30,642,704","$3,106,530",10.1%,"$27,536,174",89.9%
180,When the Game Stands Tall,"$30,138,754","$30,127,963",100%,"$10,791",<0.1%
181,Draft Day,"$29,824,199","$28,842,237",96.7%,"$981,962",3.3%
182,Big Eyes,"$29,253,166","$14,482,031",49.5%,"$14,771,135",50.5%
183,The Fatal Encounter,"$29,060,186",-,-,"$29,060,186",100%
184,Maya the Bee Movie,"$28,638,603",-,-,"$28,638,603",100%
185,Pokémon the Movie: Diancie and the Cocoon of Destruction,"$28,595,105",-,-,"$28,595,105",100%
186,The Divine Move,"$27,926,871","$136,707",0.5%,"$27,790,164",99.5%
187,Nicholas on Holiday,"$27,567,832",-,-,"$27,567,832",100%
188,Grace of Monaco,"$27,515,247",-,-,"$27,515,247",100%
189,Left Behind,"$27,405,896","$14,019,924",51.2%,"$13,385,972",48.8%
190,Vaterfreuden,"$27,088,817",-,-,"$27,088,817",100%
191,A Hard Day,"$26,488,847","$19,004",<0.1%,"$26,469,843",99.9%
192,Top Five,"$26,117,471","$25,317,471",96.9%,"$800,000",3.1%
193,Iceman,"$26,033,917","$7,679",<0.1%,"$26,026,238",100%
194,Meet Miss Anxiety,"$25,948,636",-,-,"$25,948,636",100%
195,"Love, Rosie","$25,574,387","$20,431",<0.1%,"$25,553,956",99.9%
196,A Haunted House 2,"$25,358,716","$17,329,486",68.3%,"$8,029,230",31.7%
197,And So It Goes,"$25,312,387","$15,160,801",59.9%,"$10,151,586",40.1%
198,Kung Fu Jungle,"$24,070,765","$129,784",0.5%,"$23,940,981",99.5%
199,Hot Road,"$22,916,313",-,-,"$22,916,313",100%
200,Fading Gigolo,"$22,706,304","$3,769,873",16.6%,"$18,936,431",83.4%
201,2 States,"$22,386,518","$2,238,174",10%,"$20,148,344",90%
202,Rupan sansei,"$22,361,629",-,-,"$22,361,629",100%
203,Mr. Turner,"$22,179,785","$3,958,500",17.8%,"$18,221,285",82.2%
204,Sabotage,"$22,126,842","$10,508,518",47.5%,"$11,618,324",52.5%
205,Legends of Oz: Dorothy's Return,"$21,755,418","$8,462,347",38.9%,"$13,293,071",61.1%
206,The Target,"$21,658,812",-,-,"$21,658,812",100%
207,Bears,"$21,316,745","$17,780,194",83.4%,"$3,536,551",16.6%
208,Yves Saint Laurent,"$21,026,290","$723,593",3.4%,"$20,302,697",96.6%
209,El nino,"$20,918,976","$1,237",<0.1%,"$20,917,739",100%
210,That Demon Within,"$20,415,934","$172,343",0.8%,"$20,243,591",99.2%
211,The Mole Song: Undercover Agent Reiji,"$20,392,349",-,-,"$20,392,349",100%
212,Babysitting,"$20,334,564",-,-,"$20,334,564",100%
213,Labor Day,"$20,275,812","$13,371,528",65.9%,"$6,904,284",34.1%
214,"Les trois frères, le retour","$20,193,106",-,-,"$20,193,106",100%
215,Partners: The Movie III,"$19,814,411",-,-,"$19,814,411",100%
216,EX-Files,"$19,310,000",-,-,"$19,310,000",100%
217,Foxcatcher,"$19,206,513","$12,096,300",63%,"$7,110,213",37%
218,Temporary Family,"$18,936,753",-,-,"$18,936,753",100%
219,Love in Vegas,"$18,717,556",-,-,"$18,717,556",100%
220,The Drop,"$18,658,381","$10,724,389",57.5%,"$7,933,992",42.5%
221,One Hundred Thousand Bad Jokes,"$18,550,000",-,-,"$18,550,000",100%
222,Gooische Vrouwen II,"$18,326,296",-,-,"$18,326,296",100%
223,The Con Artists,"$18,106,167",-,-,"$18,106,167",100%
224,Cantinflas,"$17,966,873","$6,382,924",35.5%,"$11,583,949",64.5%
225,The Quiet Ones,"$17,835,162","$8,509,867",47.7%,"$9,325,295",52.3%
226,Luk fuk hei si,"$17,716,725",-,-,"$17,716,725",100%
227,Before I Go to Sleep,"$17,669,776","$3,242,457",18.4%,"$14,427,319",81.6%
228,Crayon Shin-Chan,"$17,542,139",-,-,"$17,542,139",100%
229,Addicted,"$17,534,314","$17,390,770",99.2%,"$143,544",0.8%
230,Eyyvah Eyvah 3,"$17,455,570",-,-,"$17,455,570",100%
231,Si accettano miracoli,"$17,368,659",-,-,"$17,368,659",100%
232,Z Storm,"$17,234,954",-,-,"$17,234,954",100%
233,Saint Seiya: Legend of Sanctuary,"$17,150,803",-,-,"$17,150,803",100%
234,Calvary,"$16,887,741","$3,600,006",21.3%,"$13,287,735",78.7%
235,The Pyramid,"$16,861,137","$2,756,333",16.3%,"$14,104,804",83.7%
236,"Black Coal, Thin Ice","$16,830,885",-,-,"$16,830,885",100%
237,Pride,"$16,699,029","$1,446,634",8.7%,"$15,252,395",91.3%
238,Belle,"$16,607,575","$10,726,630",64.6%,"$5,880,945",35.4%
239,A Boss in the Living Room,"$16,562,487",-,-,"$16,562,487",100%
240,Trick the Movie: Last Stage,"$16,518,606",-,-,"$16,518,606",100%
241,The Single Moms Club,"$16,365,451","$15,973,881",97.6%,"$391,570",2.4%
242,Fiston,"$16,301,210",-,-,"$16,301,210",100%
243,As the Light Goes Out,"$15,973,348",-,-,"$15,973,348",100%
244,Vampire Academy,"$15,642,346","$7,791,979",49.8%,"$7,850,367",50.2%
245,The Snow Queen 2,"$15,490,747",-,-,"$15,490,747",100%
246,"My Love, My Bride","$15,486,122",-,-,"$15,486,122",100%
247,"The Rich, the Pauper and the Butler","$15,377,544",-,-,"$15,377,544",100%
248,Inherent Vice,"$14,710,975","$8,110,975",55.1%,"$6,600,000",44.9%
249,Stromberg - Der Film,"$14,641,000",-,-,"$14,641,000",100%
250,Beyond the Lights,"$14,618,727","$14,618,727",100%,-,-
251,Barbecue,"$14,454,364",-,-,"$14,454,364",100%
252,America: Imagine the World Without Her,"$14,444,502","$14,444,502",100%,-,-
253,Brotherhood of Blades,"$14,257,523",-,-,"$14,257,523",100%
254,Kukhnya v Parizhe,"$14,187,131",-,-,"$14,187,131",100%
255,Sotto una buona stella,"$14,119,210",-,-,"$14,119,210",100%
256,Samurai Hustle,"$14,086,665",-,-,"$14,086,665",100%
257,Island of Lemurs: Madagascar,"$14,066,534","$11,272,213",80.1%,"$2,794,321",19.9%
258,Torrente 5,"$13,851,074",-,-,"$13,851,074",100%
259,Meet the Pegusus,"$13,760,000",-,-,"$13,760,000",100%
260,Humpty Sharma Ki Dulhania,"$13,669,988","$380,011",2.8%,"$13,289,977",97.2%
261,I Just Wanna Hug You,"$13,651,173",-,-,"$13,651,173",100%
262,The Two Faces of January,"$13,551,951","$507,463",3.7%,"$13,044,488",96.3%
263,The Truth About Beauty,"$13,442,445",-,-,"$13,442,445",100%
264,Gorko! 2,"$13,228,038",-,-,"$13,228,038",100%
265,Mommy,"$13,156,856","$3,494,070",26.6%,"$9,662,786",73.4%
266,Man in Love,"$13,128,746",-,-,"$13,128,746",100%
267,"Charterrejsen, Malta All Inclusive","$13,061,991",-,-,"$13,061,991",100%
268,French Women,"$13,061,533",-,-,"$13,061,533",100%
269,The Perfect Dictatorship,"$12,809,592",-,-,"$12,809,592",100%
270,Get Married If You Can,"$12,710,975",-,-,"$12,710,975",100%
271,Naan Sigappu Manithan,"$12,686,966",-,-,"$12,686,966",100%
272,Whistle Blower,"$12,628,888",-,-,"$12,628,888",100%
273,A Second Chance,"$12,468,099",-,-,"$12,468,099",100%
274,Humshakals,"$12,278,365",-,-,"$12,278,365",100%
275,The Connection,"$12,062,441","$190,980",1.6%,"$11,871,461",98.4%
276,A Most Violent Year,"$12,007,070","$5,749,134",47.9%,"$6,257,936",52.1%
277,Bogowie,"$11,953,322",-,-,"$11,953,322",100%
278,Kano,"$11,890,062",-,-,"$11,890,062",100%
279,Up in the Wind,"$11,783,108",-,-,"$11,783,108",100%
280,The Interview,"$11,782,625","$6,105,175",51.8%,"$5,677,450",48.2%
281,The Man Cave,"$11,774,200",-,-,"$11,774,200",100%
282,The Seventh Dwarf,"$11,703,629",-,-,"$11,703,629",100%
283,Fighting,"$11,690,000",-,-,"$11,690,000",100%
284,My Brilliant Life,"$11,670,114",-,-,"$11,670,114",100%
285,Department Q: The Absent One,"$11,536,119",-,-,"$11,536,119",100%
286,Sea Fog,"$11,418,310",-,-,"$11,418,310",100%
287,Yolki 1914,"$11,409,949",-,-,"$11,409,949",100%
288,One Step Away,"$11,320,000",-,-,"$11,320,000",100%
289,"Nativity 3: Dude, Where's My Donkey?!","$11,283,866",-,-,"$11,283,866",100%
290,Action Jackson,"$11,060,963","$256,872",2.3%,"$10,804,091",97.7%
291,Jilla,"$11,050,289",-,-,"$11,050,289",100%
292,The Loft,"$11,016,443","$6,002,684",54.5%,"$5,013,759",45.5%
293,Le crocodile du Botswanga,"$10,820,100",-,-,"$10,820,100",100%
294,Coming Soon,"$10,769,798",-,-,"$10,769,798",100%
295,Tutta colpa di Freud,"$10,736,157",-,-,"$10,736,157",100%
296,Obsessed,"$10,721,585",-,-,"$10,721,585",100%
297,What We Did on Our Holiday,"$10,714,112",-,-,"$10,714,112",100%
298,I Fine..Thank You Love You,"$10,657,812",-,-,"$10,657,812",100%
299,A Bolt from the Blue,"$10,645,439",-,-,"$10,645,439",100%
300,Hot Young Bloods,"$10,644,513",-,-,"$10,644,513",100%
301,My Old Lady,"$10,606,667","$4,013,786",37.8%,"$6,592,881",62.2%
302,Moms' Night Out,"$10,536,956","$10,429,707",99%,"$107,249",1%
303,Thread of Lies,"$10,522,797",-,-,"$10,522,797",100%
304,The Little House,"$10,488,932",-,-,"$10,488,932",100%
305,Fünf Freunde 3,"$10,362,820",-,-,"$10,362,820",100%
306,Main Tera Hero,"$10,338,463","$274,579",2.7%,"$10,063,884",97.3%
307,Crows Explode,"$10,315,875",-,-,"$10,315,875",100%
308,The Babadook,"$10,312,540","$964,413",9.4%,"$9,348,127",90.6%
309,Cape Nostalgia,"$10,258,016",-,-,"$10,258,016",100%
310,Say 'I Love You',"$10,047,557",-,-,"$10,047,557",100%
311,O Candidato Honesto,"$10,021,790",-,-,"$10,021,790",100%
312,The Horse Trader,"$9,970,000",-,-,"$9,970,000",100%
313,For Love or Money,"$9,960,000",-,-,"$9,960,000",100%
314,Dragon Nest: Warriors' Dawn,"$9,841,578",-,-,"$9,841,578",100%
315,Close Range Love,"$9,812,922",-,-,"$9,812,922",100%
316,Men Are from Mars... And That's Where I'm Going!,"$9,645,549",-,-,"$9,645,549",100%
317,Andiamo a quel paese,"$9,437,265",-,-,"$9,437,265",100%
318,Super Hero Taisen Kamen Rider feat. Super Sentai: Heisei Rider vs. Showa Rider,"$9,397,108",-,-,"$9,397,108",100%
319,Do Not Disturb,"$9,382,573",-,-,"$9,382,573",100%
320,"Sex, Love & Therapy","$9,307,095",-,-,"$9,307,095",100%
321,The Legend of Qin,"$9,250,000",-,-,"$9,250,000",100%
322,Starting Over Again,"$9,189,200",-,-,"$9,189,200",100%
323,S.O.S.: Women to the Sea,"$9,183,590",-,-,"$9,183,590",100%
324,The Reunion 2: The Funeral,"$9,156,541",-,-,"$9,156,541",100%
325,Human Capital,"$9,113,941","$158,549",1.7%,"$8,955,392",98.3%
326,"Two Days, One Night","$9,016,922","$1,436,243",15.9%,"$7,580,679",84.1%
327,Marshland,"$9,014,591",-,-,"$9,014,591",100%
328,Bibi & Tina,"$8,882,377",-,-,"$8,882,377",100%
329,Ju-on: The Beginning of the End,"$8,867,935",-,-,"$8,867,935",100%
330,A Samurai Chronicle,"$8,804,424",-,-,"$8,804,424",100%
331,Yugo and Lala 2,"$8,779,915",-,-,"$8,779,915",100%
332,Enchanted Kingdom,"$8,766,058",-,-,"$8,766,058",100%
333,Seer V,"$8,730,000",-,-,"$8,730,000",100%
334,The Snow White Murder Case,"$8,721,394",-,-,"$8,721,394",100%
335,Precure All Stars New Stage 3,"$8,526,335",-,-,"$8,526,335",100%
336,What If,"$8,526,288","$3,493,000",41%,"$5,033,288",59%
337,The Magic Brush,"$8,520,000",-,-,"$8,520,000",100%
338,MONSTERZ: Monsutâzu,"$8,505,632",-,-,"$8,505,632",100%
339,Slow Video,"$8,494,658",-,-,"$8,494,658",100%
340,Kamen Rider Gaim: Great Soccer Battle! Golden Fruits Cup!,"$8,405,854",-,-,"$8,405,854",100%
341,The Golden Era,"$8,396,062","$102,931",1.2%,"$8,293,131",98.8%
342,Wir sind die Neuen,"$8,373,880",-,-,"$8,373,880",100%
343,The Love Punch,"$8,366,493","$266,588",3.2%,"$8,099,905",96.8%
344,Some Like It Cold,"$8,358,478",-,-,"$8,358,478",100%
345,Old Cinderella,"$8,330,000",-,-,"$8,330,000",100%
346,Anonymous,"$8,252,627",-,-,"$8,252,627",100%
347,Walk of Shame,"$8,122,990","$59,209",0.7%,"$8,063,781",99.3%
348,Whisper If I Forget,"$8,079,191",-,-,"$8,079,191",100%
349,Friends of Friends,"$8,055,417",-,-,"$8,055,417",100%
350,The Team,"$7,970,084",-,-,"$7,970,084",100%
351,Bunshinsaba 3,"$7,890,000",-,-,"$7,890,000",100%
